                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2518,                 4.0127,                 3.7324,                0.10903,                0.18085,                 0.0509,                0.01394,                 3.0104,                 4.4612,                 3.4786,                0.07003,              0.0033299,              0.0033299
                      2,                 2.6659,                 3.2427,                 3.0956,                0.21098,                0.26788,                0.12554,                0.03858,                 2.3711,                 2.9623,                 3.0063,               0.040017,              0.0066501,              0.0066501
                      3,                  2.202,                 2.8906,                 2.6388,                 0.2381,                0.29431,                  0.167,                0.05314,                 2.2008,                 2.8391,                 2.8325,              0.0099909,               0.009957,               0.009957
                      4,                 2.0387,                 2.7304,                  2.453,                0.31519,                0.27507,                0.20206,                0.06029,                 2.2115,                  2.702,                 2.8028,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9683,                 2.5993,                 2.3648,                0.38579,                0.38681,                0.32505,                0.11533,                 2.1199,                 2.5002,                 2.7158,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.9051,                 2.5032,                  2.285,                 0.3924,                0.41223,                0.34004,                0.12084,                 2.0276,                 2.4221,                  2.613,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8568,                 2.4249,                 2.2334,                0.42778,                0.43317,                  0.391,                0.14128,                 1.9911,                 2.2525,                 2.5597,               0.009901,               0.009901,               0.009901
                      8,                 1.8304,                 2.3549,                    2.2,                0.46554,                0.43911,                0.43327,                0.17058,                 1.9751,                 2.2347,                 2.4754,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8158,                 2.2994,                 2.1691,                0.47339,                0.44256,                0.42972,                0.16881,                 1.9874,                 2.1341,                 2.4804,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7842,                 2.2628,                 2.1478,                0.46592,                0.49028,                0.41421,                0.16363,                 1.9463,                 2.1542,                 2.4808,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.7849,                 2.2387,                 2.1399,                 0.4788,                0.49108,                0.46241,                0.18026,                 1.9916,                 2.0663,                 2.4957,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.7688,                 2.1941,                 2.1153,                0.51135,                0.49897,                0.49133,                0.20327,                 1.9534,                 1.9792,                 2.4225,               0.009802,               0.009802,               0.009802
                     13,                 1.7581,                 2.1567,                 2.1113,                0.51015,                0.51343,                0.48016,                0.20324,                 1.9522,                 1.9617,                 2.4487,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.7452,                 2.1295,                 2.0904,                0.52697,                0.50207,                0.48246,                0.20559,                 1.9605,                 1.9636,                 2.4306,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.7317,                 2.1057,                 2.0719,                0.52755,                0.52158,                0.51889,                0.21566,                 1.9383,                 1.9362,                 2.4101,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.7193,                 2.0877,                 2.0663,                0.53831,                 0.5071,                0.50333,                0.21199,                 1.9702,                 1.9185,                 2.3945,              0.0097228,              0.0097228,              0.0097228
                     17,                  1.714,                 2.0607,                 2.0436,                0.54522,                0.53427,                0.53425,                 0.2283,                 1.9083,                 1.8796,                 2.3833,               0.009703,               0.009703,               0.009703
                     18,                 1.7091,                 2.0476,                 2.0471,                0.55253,                0.55164,                0.51372,                0.22192,                 1.9271,                   1.87,                 2.3914,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.6977,                 2.0188,                 2.0262,                0.54557,                0.56243,                0.54232,                0.23604,                 1.9207,                 1.8327,                 2.3974,              0.0096634,              0.0096634,              0.0096634
                     20,                  1.687,                 1.9975,                 2.0188,                 0.5661,                0.54087,                0.54731,                0.23924,                 1.9262,                 1.8257,                 2.3736,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.6778,                 1.9808,                 2.0114,                0.53669,                0.56625,                0.54127,                 0.2425,                 1.9086,                 1.7902,                 2.3509,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.6796,                 1.9742,                  2.016,                0.54318,                0.54777,                0.54469,                0.24152,                 1.8846,                   1.82,                 2.3492,               0.009604,               0.009604,               0.009604
                     23,                 1.6682,                 1.9483,                 1.9982,                0.56474,                0.56979,                0.54831,                0.24507,                 1.8997,                 1.7866,                 2.3162,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.6542,                 1.9212,                 1.9857,                0.53841,                0.55668,                0.54166,                0.24428,                 1.8862,                 1.7692,                 2.3409,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.6586,                 1.9059,                  1.977,                0.60626,                0.57072,                0.57799,                0.26354,                  1.882,                 1.7389,                 2.2823,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.6479,                 1.8989,                 1.9723,                0.57481,                0.58147,                0.56691,                0.25855,                 1.8746,                 1.7358,                 2.3144,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.6443,                 1.8901,                 1.9737,                 0.5835,                0.58728,                0.57309,                0.26043,                 1.8998,                 1.7276,                 2.3268,               0.009505,               0.009505,               0.009505
                     28,                 1.6458,                 1.8659,                 1.9665,                0.56858,                 0.5889,                0.57178,                0.26582,                 1.8618,                 1.7045,                 2.2864,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.6359,                 1.8706,                 1.9656,                0.60354,                0.56384,                0.57413,                 0.2627,                 1.8543,                 1.7277,                 2.3018,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.6187,                 1.8459,                  1.949,                0.59305,                0.58886,                0.57336,                0.26056,                 1.8939,                 1.6925,                  2.314,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.6172,                 1.8288,                 1.9494,                0.60014,                0.58433,                0.58043,                0.26553,                 1.8605,                 1.6691,                 2.2726,              0.0094258,              0.0094258,              0.0094258
