                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2061,                 4.0691,                 3.7735,                0.08606,                  0.189,                0.04724,                0.01169,                 2.8719,                 4.2133,                 3.4846,               0.070097,              0.0033225,              0.0033225
                      2,                 2.6585,                 3.3326,                 3.0869,                0.10745,                0.31356,                0.07818,                0.02253,                 2.4387,                 4.2289,                 3.0636,               0.040084,              0.0066427,              0.0066427
                      3,                 2.2256,                 2.9407,                 2.6591,                0.13229,                0.28731,                0.11332,                0.03855,                 2.3015,                 3.8996,                 3.0296,               0.010058,              0.0099496,              0.0099496
                      4,                 2.0448,                 2.7348,                  2.456,                0.52768,                0.32245,                0.24277,                0.08614,                 2.1039,                 2.7935,                 2.7094,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.949,                  2.538,                 2.3321,                 0.2956,                0.38168,                0.26015,                0.09228,                 2.1093,                 2.5363,                 2.6418,              0.0099208,              0.0099208,              0.0099208
                      6,                  1.901,                  2.465,                 2.2796,                 0.3624,                0.41883,                0.36068,                 0.1333,                 2.0701,                 2.3053,                 2.5704,               0.009901,               0.009901,               0.009901
                      7,                 1.8534,                 2.3689,                 2.2119,                0.39741,                0.43246,                0.36068,                0.13463,                 2.1066,                 2.2704,                 2.5558,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.8327,                 2.3234,                 2.1791,                0.50407,                0.43916,                0.43006,                0.15324,                 2.0892,                 2.1549,                 2.5355,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7999,                 2.2674,                 2.1466,                0.53158,                0.41453,                0.41665,                0.15884,                 2.0011,                  2.182,                 2.5219,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7873,                 2.2345,                 2.1195,                0.49583,                0.46704,                0.42938,                0.16628,                 2.0403,                 2.1217,                 2.5116,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7807,                 2.1861,                  2.099,                0.44671,                0.45543,                0.43731,                0.16963,                 2.0199,                 2.1397,                 2.4583,               0.009802,               0.009802,               0.009802
                     12,                 1.7661,                 2.1542,                 2.0848,                0.42736,                0.44693,                0.41116,                0.15802,                 2.0262,                 2.1423,                 2.4678,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.7519,                 2.1381,                 2.0705,                0.52965,                0.51431,                0.49623,                0.20098,                 1.9734,                 1.9675,                  2.404,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.7434,                 2.1065,                 2.0494,                0.49711,                 0.5114,                0.46995,                0.19358,                 1.9899,                 2.0056,                 2.4045,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.7376,                 2.0901,                 2.0429,                0.52011,                0.48768,                0.47031,                0.19247,                 2.0115,                  1.966,                 2.4027,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.7218,                 2.0603,                 2.0288,                0.54897,                0.49987,                0.47732,                0.19487,                  1.976,                 1.9902,                 2.3689,               0.009703,               0.009703,               0.009703
                     17,                 1.7098,                 2.0357,                 2.0242,                0.54222,                0.52917,                0.52101,                0.21621,                 1.9913,                 1.8877,                 2.3961,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.7035,                 2.0088,                 2.0134,                0.56842,                0.53942,                0.54031,                0.22438,                 1.9618,                 1.8411,                  2.368,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6946,                 1.9781,                 1.9998,                0.52298,                0.52083,                0.50991,                 0.2159,                 1.9381,                 1.8846,                 2.3272,              0.0096436,              0.0096436,              0.0096436
                     20,                  1.686,                 1.9696,                 1.9859,                0.52406,                0.53221,                 0.5133,                0.22648,                 1.9458,                 1.8508,                 2.3344,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6729,                 1.9406,                 1.9763,                0.56651,                 0.5408,                0.53069,                0.22838,                  1.924,                 1.8322,                 2.3396,               0.009604,               0.009604,               0.009604
                     22,                 1.6808,                 1.9205,                  1.974,                0.51071,                0.56126,                0.51185,                0.22824,                 1.9062,                 1.8422,                 2.3162,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.6604,                 1.9191,                 1.9672,                0.54957,                0.55606,                0.54019,                0.24176,                 1.9052,                  1.829,                 2.3384,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.6571,                 1.8977,                 1.9647,                0.55081,                0.55984,                0.54846,                0.23386,                 1.9389,                 1.7817,                 2.3148,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.6579,                 1.8886,                 1.9609,                0.57404,                0.56732,                0.55858,                0.24678,                 1.9107,                  1.749,                 2.2957,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.6483,                 1.8587,                 1.9501,                0.59672,                0.56077,                0.56294,                0.25466,                 1.8991,                   1.73,                 2.2898,               0.009505,               0.009505,               0.009505
                     27,                 1.6482,                 1.8657,                 1.9422,                0.56226,                0.56254,                0.55517,                0.26111,                  1.873,                 1.7215,                  2.241,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.6305,                 1.8414,                 1.9321,                0.56065,                0.56572,                0.56097,                  0.255,                 1.8528,                 1.7688,                 2.2539,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.6274,                 1.8418,                 1.9312,                0.57862,                0.55441,                0.56326,                0.25864,                 1.8802,                 1.7232,                 2.2747,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.6283,                 1.8265,                 1.9317,                0.59018,                0.57631,                0.58653,                0.27322,                 1.8546,                  1.691,                  2.245,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.6243,                 1.8079,                 1.9293,                0.59064,                0.58609,                0.57997,                0.25717,                 1.9136,                 1.6791,                 2.2766,               0.009406,               0.009406,               0.009406
                     32,                 1.6182,                 1.7981,                 1.9181,                0.61989,                0.57222,                0.58629,                0.26783,                 1.8829,                 1.6938,                   2.25,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.6189,                 1.8004,                  1.925,                0.59483,                0.59231,                0.58658,                0.26545,                  1.876,                 1.6786,                 2.2694,              0.0093664,              0.0093664,              0.0093664
