                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1071,                  3.861,                 3.6723,                0.12807,                 0.2504,                0.06904,                0.01648,                 2.7917,                 3.7137,                 3.4413,               0.070012,               0.003332,               0.003332
                      2,                 2.4926,                 3.2606,                 2.9851,                0.22871,                0.29205,                0.16051,                0.04974,                 2.3768,                 2.9414,                 2.9844,               0.039999,              0.0066521,              0.0066521
                      3,                 2.2407,                 3.0113,                 2.6867,                 0.3073,                0.30447,                0.23218,                0.08015,                 2.1834,                   3.15,                   2.86,              0.0099726,              0.0099591,              0.0099591
                      4,                 2.0992,                 2.8537,                 2.5347,                0.26232,                0.37507,                0.22188,                0.07905,                 2.1423,                 2.8029,                 2.7059,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9915,                 2.6882,                 2.4211,                0.27676,                0.48676,                0.26805,                0.09566,                 2.0854,                 2.5791,                 2.6747,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.9335,                  2.575,                 2.3448,                0.43056,                 0.3937,                0.37084,                 0.1389,                 2.0634,                  2.318,                 2.6278,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8879,                 2.4952,                 2.2894,                0.39748,                0.41821,                0.35849,                0.13878,                 2.0063,                 2.2788,                 2.5399,               0.009901,               0.009901,               0.009901
                      8,                 1.8649,                  2.419,                 2.2619,                0.41438,                0.46078,                0.39252,                0.15102,                 1.9953,                 2.2259,                 2.5259,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8424,                 2.3485,                 2.2246,                0.40541,                0.47067,                0.38479,                0.15505,                 1.9662,                 2.1308,                 2.4754,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.8214,                 2.3139,                 2.1987,                0.43935,                0.51054,                0.46223,                0.19385,                 1.9845,                 2.0226,                 2.4325,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.7889,                  2.233,                 2.1588,                0.53813,                 0.5014,                0.48312,                0.19326,                 2.0021,                 1.9841,                 2.4819,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.7894,                  2.229,                 2.1442,                 0.5083,                0.50939,                0.49054,                0.20748,                 1.9359,                 1.9719,                 2.4341,               0.009802,               0.009802,               0.009802
                     13,                 1.7806,                 2.1894,                 2.1422,                0.51599,                0.49054,                0.49485,                0.20969,                 1.9547,                 1.9819,                 2.4303,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.7595,                 2.1434,                 2.1085,                0.50158,                0.52307,                0.47963,                0.19623,                 1.9768,                 1.9443,                 2.4662,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.7436,                 2.1192,                 2.1009,                0.56614,                0.52809,                0.54175,                0.23847,                 1.9239,                 1.8659,                 2.3754,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.7332,                  2.091,                 2.0815,                0.57125,                0.52513,                0.52582,                0.21943,                 1.9487,                 1.8755,                 2.3771,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.7209,                 2.0652,                 2.0749,                0.54666,                0.53193,                0.53338,                0.23551,                 1.9345,                 1.8217,                 2.3665,               0.009703,               0.009703,               0.009703
                     18,                 1.7139,                 2.0134,                 2.0669,                 0.5487,                0.54469,                0.51719,                0.23484,                 1.9321,                 1.8267,                 2.3712,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.6957,                 2.0112,                 2.0489,                0.55747,                 0.5553,                0.53142,                0.24019,                 1.9258,                 1.7887,                 2.3676,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.6903,                 1.9714,                 2.0379,                 0.5763,                0.55178,                0.54774,                0.24643,                 1.8945,                  1.771,                   2.35,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.6785,                 1.9507,                 2.0214,                0.53591,                0.58454,                0.55624,                0.25352,                 1.9149,                 1.7336,                 2.3521,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.6724,                 1.9355,                 2.0186,                0.55935,                0.57517,                0.55036,                0.24982,                 1.9114,                 1.7163,                 2.3151,               0.009604,               0.009604,               0.009604
                     23,                 1.6691,                 1.9173,                 2.0057,                0.58761,                0.57307,                0.56124,                0.25846,                 1.8811,                 1.7667,                 2.3232,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.6575,                   1.91,                 2.0017,                0.57724,                0.57068,                0.56516,                0.26023,                 1.8633,                 1.7228,                  2.296,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.6473,                 1.8847,                 1.9814,                0.56764,                0.57554,                0.54795,                0.25155,                 1.9198,                 1.6779,                 2.3354,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.6394,                  1.863,                 1.9776,                0.59725,                0.58153,                0.56618,                0.26079,                  1.894,                 1.6778,                 2.3192,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.6306,                 1.8413,                 1.9742,                0.59155,                0.59084,                0.58174,                0.26667,                 1.9006,                 1.6678,                 2.3402,               0.009505,               0.009505,               0.009505
