                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2832,                 4.3849,                 4.1131,                0.00169,                0.40171,                0.00267,                0.00078,                 2.9167,                  4.182,                 4.0071,               0.070195,              0.0033117,              0.0033117
                      2,                 3.0678,                 3.8195,                 3.5539,                0.19068,                0.15002,                0.07663,                 0.0218,                 2.6099,                 3.8532,                 3.2886,               0.040182,              0.0066319,              0.0066319
                      3,                 2.3519,                 3.1533,                 2.8335,                0.06392,                0.24447,                0.04923,                0.01397,                 2.4254,                 7.8986,                 3.1457,               0.010155,              0.0099388,              0.0099388
                      4,                 2.0589,                 2.7572,                 2.4984,                0.24295,                0.31387,                0.21464,                0.07215,                  2.258,                 3.5217,                 3.0192,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9498,                 2.5589,                 2.3639,                 0.3459,                0.37473,                0.25095,                0.08326,                 2.1625,                 2.8546,                 2.7522,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.8775,                 2.4203,                 2.2818,                0.41591,                0.37297,                 0.3229,                0.11217,                 2.1629,                  2.509,                 2.7013,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8447,                 2.3371,                 2.2186,                0.40694,                0.43476,                0.35987,                0.13576,                 2.1035,                   2.35,                 2.5967,               0.009901,               0.009901,               0.009901
                      8,                 1.8068,                 2.2607,                 2.1822,                0.48424,                0.45698,                0.43249,                0.17292,                 2.0733,                 2.1558,                 2.5266,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.7897,                 2.1998,                 2.1545,                0.47234,                0.45623,                0.43103,                0.17422,                 2.0153,                 2.2467,                 2.5519,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7681,                 2.1522,                 2.1338,                0.50749,                0.49854,                0.46945,                0.17584,                 2.0707,                 2.0935,                 2.5867,              0.0098416,              0.0098416,              0.0098416
                     11,                  1.755,                  2.138,                 2.1131,                0.46666,                0.47739,                0.44079,                0.17115,                 2.0344,                 2.1791,                 2.5666,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.7373,                 2.0856,                 2.0895,                0.50202,                0.54164,                0.49055,                0.19706,                 2.0152,                 2.0159,                 2.4698,               0.009802,               0.009802,               0.009802
                     13,                 1.7192,                 2.0569,                 2.0816,                0.54432,                0.51899,                0.50079,                0.21001,                 1.9816,                 1.9863,                  2.467,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.7117,                 2.0344,                 2.0631,                0.55358,                0.50555,                0.52017,                0.21734,                 1.9823,                 1.9666,                 2.4726,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.7037,                 2.0052,                 2.0593,                0.51949,                0.54571,                0.50862,                0.21454,                 1.9643,                  1.933,                 2.4698,              0.0097426,              0.0097426,              0.0097426
                     16,                    1.7,                 1.9812,                 2.0463,                0.52749,                0.53356,                0.52621,                 0.2212,                 1.9565,                 1.9649,                 2.4387,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.6837,                  1.963,                 2.0286,                0.58043,                0.54442,                0.53699,                0.23082,                   1.93,                 1.8961,                 2.3629,               0.009703,               0.009703,               0.009703
                     18,                 1.6741,                 1.9512,                  2.023,                0.50953,                0.54854,                0.50994,                0.22193,                 1.9579,                 1.9134,                 2.4563,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.6666,                 1.9168,                 2.0131,                0.53556,                0.54054,                0.50976,                0.21911,                 1.9725,                 1.9084,                  2.444,              0.0096634,              0.0096634,              0.0096634
                     20,                  1.665,                 1.9021,                 2.0126,                0.54702,                0.57231,                0.53501,                0.23846,                 1.9721,                 1.8434,                 2.3865,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.6494,                  1.875,                 1.9892,                0.56621,                0.53538,                0.54279,                0.23992,                 1.9569,                 1.8698,                 2.3863,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.6383,                 1.8609,                 1.9837,                 0.5671,                0.55024,                0.53531,                0.23146,                 1.9542,                 1.8067,                 2.3969,               0.009604,               0.009604,               0.009604
                     23,                 1.6267,                 1.8462,                 1.9746,                0.59987,                0.52676,                0.55108,                0.24216,                 1.9255,                 1.8015,                 2.4017,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.6293,                 1.8164,                  1.965,                 0.5638,                0.57921,                0.55867,                0.24967,                 1.9673,                 1.7823,                 2.3691,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.6229,                 1.8111,                 1.9605,                0.57468,                0.55145,                0.54883,                0.24854,                 1.9055,                 1.8051,                   2.37,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.6171,                 1.8039,                  1.961,                0.58333,                0.57835,                0.56155,                0.25468,                 1.9424,                  1.763,                 2.3772,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.6036,                 1.7665,                 1.9445,                0.61482,                0.57904,                 0.5899,                0.26428,                 1.9283,                 1.7178,                 2.3373,               0.009505,               0.009505,               0.009505
                     28,                  1.596,                 1.7547,                 1.9372,                0.58605,                 0.5797,                0.56848,                0.25916,                 1.8957,                 1.7568,                 2.3574,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.5901,                 1.7406,                 1.9346,                0.57761,                 0.5958,                 0.5851,                0.26961,                 1.9027,                   1.71,                 2.3501,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.5908,                 1.7404,                 1.9292,                0.62633,                0.58221,                0.59454,                0.26789,                 1.9009,                 1.6765,                 2.3172,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.5833,                 1.7239,                 1.9189,                0.60227,                0.59018,                0.58533,                0.26708,                 1.9008,                 1.6928,                 2.3225,              0.0094258,              0.0094258,              0.0094258
                     32,                  1.565,                 1.7062,                 1.9104,                0.60246,                0.58872,                0.58751,                0.27131,                 1.8892,                 1.6839,                 2.3255,               0.009406,               0.009406,               0.009406
                     33,                  1.563,                 1.6912,                 1.9112,                 0.6315,                0.57933,                0.59279,                0.27203,                 1.9283,                 1.6755,                  2.368,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.5555,                 1.6854,                 1.9014,                 0.6062,                0.60105,                0.58951,                0.26904,                 1.9106,                 1.6382,                  2.347,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.5513,                 1.6793,                 1.8963,                0.61475,                0.60334,                0.58542,                0.27153,                 1.8795,                 1.6623,                 2.3008,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.5445,                  1.666,                 1.8886,                0.60961,                0.59654,                0.58923,                0.27179,                 1.9051,                 1.6499,                 2.3137,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.5414,                  1.643,                 1.8872,                0.62113,                0.60564,                0.59613,                0.27422,                 1.9106,                 1.6359,                 2.3432,               0.009307,               0.009307,               0.009307
                     38,                 1.5333,                 1.6408,                 1.8757,                0.62159,                0.59892,                0.59952,                0.27768,                 1.8978,                 1.6289,                 2.3238,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.5268,                 1.6245,                 1.8722,                0.64661,                0.59875,                0.60331,                0.28141,                 1.9318,                 1.6071,                 2.3422,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.5283,                  1.633,                 1.8689,                0.60752,                0.60914,                0.59417,                0.27633,                 1.9072,                 1.6336,                 2.3287,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.5163,                  1.607,                 1.8556,                0.61442,                0.62524,                0.60745,                0.28596,                 1.9059,                 1.6026,                 2.3333,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.5189,                 1.6037,                 1.8538,                0.61942,                0.62182,                0.60414,                0.27958,                 1.9051,                 1.5972,                 2.3192,               0.009208,               0.009208,               0.009208
                     43,                 1.4956,                 1.5917,                 1.8454,                0.61222,                0.61862,                0.60415,                0.27855,                  1.898,                  1.595,                 2.3225,              0.0091882,              0.0091882,              0.0091882
