                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2522,                 4.2687,                 3.9185,                0.00813,                0.52351,                0.01763,                0.00426,                  3.002,                 3.9373,                 3.6462,               0.070195,              0.0033117,              0.0033117
                      2,                 2.8405,                 3.5069,                 3.2664,                0.32823,                 0.1899,                0.12649,                0.03739,                 2.5302,                 4.3486,                 3.2037,               0.040182,              0.0066319,              0.0066319
                      3,                 2.2439,                  3.022,                 2.7002,                0.06718,                0.21667,                0.04671,                0.01293,                 2.5139,                 6.8469,                  3.194,               0.010155,              0.0099388,              0.0099388
                      4,                 2.0305,                  2.739,                 2.4592,                0.26894,                0.23553,                0.21351,                0.07254,                 2.1206,                 2.9861,                 2.7888,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9303,                 2.5546,                 2.3382,                0.33588,                0.36254,                0.28501,                 0.0907,                 2.1551,                 2.6374,                 2.7277,              0.0099208,              0.0099208,              0.0099208
                      6,                  1.877,                  2.444,                  2.266,                0.31845,                0.35278,                0.28219,                0.09807,                 2.1036,                 2.5244,                 2.7367,               0.009901,               0.009901,               0.009901
                      7,                 1.8425,                 2.3621,                 2.2228,                0.36665,                0.39351,                0.33053,                0.11946,                 2.1012,                 2.4623,                 2.6373,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.8071,                 2.2818,                 2.1776,                0.44783,                0.43874,                0.40508,                0.14493,                  2.108,                  2.259,                 2.6303,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7934,                 2.2367,                 2.1548,                0.52416,                0.40931,                0.43363,                0.16687,                  2.086,                 2.2173,                 2.5984,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7726,                 2.2049,                 2.1318,                0.45069,                0.43702,                0.40905,                0.16212,                 2.0379,                 2.2283,                 2.5387,              0.0098218,              0.0098218,              0.0098218
