                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2168,                 4.2543,                 3.9575,                0.06387,                0.09231,                0.02359,                0.00558,                  2.911,                 4.8535,                 3.6704,               0.070195,              0.0033117,              0.0033117
                      2,                 2.6212,                 3.4766,                 3.1371,                 0.2076,                 0.1645,                0.08908,                0.02769,                 2.4095,                 6.1642,                 3.1824,               0.040182,              0.0066319,              0.0066319
                      3,                 2.1846,                 3.0062,                 2.6587,                0.11881,                0.08583,                0.04983,                0.01327,                 2.3859,                 7.0919,                 3.1218,               0.010155,              0.0099388,              0.0099388
                      4,                 1.9998,                 2.7115,                 2.4565,                0.26369,                0.35052,                0.20411,                0.07081,                 2.2519,                 3.1394,                 2.9626,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9096,                 2.5187,                  2.337,                0.33458,                0.40394,                0.29853,                 0.0999,                 2.2098,                 2.8853,                 2.7883,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.8574,                 2.3909,                   2.27,                0.39162,                0.43164,                0.37669,                0.12935,                 2.1751,                  2.404,                  2.678,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8211,                 2.3101,                 2.2194,                0.44426,                0.42372,                  0.376,                0.14769,                 2.0295,                  2.383,                 2.5856,               0.009901,               0.009901,               0.009901
                      8,                 1.7843,                 2.2363,                 2.1924,                0.46458,                0.47048,                0.43548,                0.17621,                 2.0511,                 2.1243,                  2.578,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.7603,                 2.1885,                   2.16,                0.47882,                0.45543,                0.43894,                0.18233,                 2.0059,                 2.2208,                 2.4827,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7492,                 2.1423,                 2.1451,                0.51977,                 0.4984,                0.48611,                 0.2031,                  1.965,                 2.1135,                 2.5125,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.7365,                 2.1266,                  2.129,                0.48803,                0.45485,                0.43631,                0.17824,                 1.9905,                 2.1225,                 2.5924,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.7207,                  2.074,                  2.105,                0.49449,                0.51261,                0.47102,                0.20303,                 1.9815,                 2.0269,                 2.5041,               0.009802,               0.009802,               0.009802
                     13,                 1.7099,                 2.0494,                 2.0976,                0.51853,                0.51366,                0.48637,                0.20731,                 1.9792,                 2.0208,                 2.4266,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.6981,                 2.0138,                 2.0776,                 0.5568,                0.54093,                0.52967,                0.22158,                 1.9653,                 1.9388,                 2.4474,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.6955,                 1.9964,                 2.0833,                0.53305,                0.50905,                 0.5088,                0.21994,                 1.9746,                 1.9703,                 2.4704,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.6763,                 1.9693,                 2.0648,                0.53375,                0.53051,                0.52456,                 0.2209,                 1.9399,                 1.9755,                 2.4282,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.6686,                 1.9521,                 2.0458,                0.59078,                0.53336,                0.54675,                0.24718,                 1.9105,                 1.8493,                 2.4276,               0.009703,               0.009703,               0.009703
                     18,                 1.6616,                 1.9403,                  2.044,                0.58743,                0.54465,                0.56002,                0.24626,                 1.9299,                 1.8439,                 2.4139,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.6546,                 1.9128,                 2.0303,                0.57747,                0.55896,                0.55638,                0.24087,                 1.9562,                 1.8344,                 2.3935,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.6534,                 1.8873,                 2.0229,                0.59612,                0.55518,                0.56343,                0.25105,                 1.9358,                 1.8059,                 2.4137,              0.0096436,              0.0096436,              0.0096436
