                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8206,                 3.3878,                 1.9818,                0.32285,                0.35331,                0.26611,                0.09405,                 2.0225,                 3.1554,                 2.3433,              0.0033279,              0.0033279,              0.0033279
                      2,                 1.7704,                 2.6668,                 1.9363,                0.38434,                  0.348,                 0.2886,                0.09895,                 2.0967,                   2.64,                 2.4537,              0.0066481,              0.0066481,              0.0066481
                      3,                 1.8233,                 2.4993,                 1.9879,                0.32544,                0.37754,                0.27534,                0.08871,                 2.1518,                 2.4322,                 2.4989,               0.009955,               0.009955,               0.009955
                      4,                 1.8478,                 2.4107,                 2.0227,                0.33248,                0.43758,                0.34798,                0.11454,                 2.0917,                 2.4697,                 2.4606,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.8227,                 2.2863,                 1.9928,                0.43438,                 0.4296,                0.39401,                0.14403,                 2.1265,                  2.127,                 2.4009,              0.0099406,              0.0099406,              0.0099406
                      6,                  1.786,                  2.177,                 1.9727,                0.40529,                0.43947,                0.37052,                0.13869,                   2.03,                 2.1956,                 2.3776,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.7675,                 2.1305,                 1.9504,                 0.4514,                0.47815,                0.43926,                0.17626,                 2.0638,                 2.0008,                 2.3766,               0.009901,               0.009901,               0.009901
                      8,                 1.7302,                 2.0769,                 1.9237,                0.49858,                0.46849,                0.45686,                0.17948,                 2.0443,                   2.04,                 2.3927,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.7194,                 2.0218,                 1.9142,                0.52323,                0.53499,                0.49069,                0.19699,                 1.9681,                 1.8953,                 2.2571,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7062,                 1.9923,                 1.9027,                0.49015,                0.51621,                0.47606,                0.19487,                 1.9725,                 1.9273,                 2.2891,              0.0098416,              0.0098416,              0.0098416
