                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2687,                 4.2664,                 3.9607,                0.00595,                0.59538,                0.02217,                0.00522,                 2.9789,                 3.9652,                 3.7059,               0.070195,              0.0033117,              0.0033117
                      2,                 2.8812,                 3.5289,                 3.3767,                 0.2141,                0.17067,                0.09385,                0.02725,                 2.4803,                 4.9515,                 3.2409,               0.040182,              0.0066319,              0.0066319
                      3,                 2.2318,                 3.0515,                 2.7492,                0.06732,                0.27891,                0.07934,                 0.0268,                 2.3041,                 4.8346,                 3.0864,               0.010155,              0.0099388,              0.0099388
                      4,                 2.0151,                  2.735,                 2.4761,                0.44207,                 0.2094,                0.16082,                0.05567,                 2.1825,                  3.165,                 2.8222,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9237,                 2.5461,                 2.3657,                 0.3363,                0.36183,                0.25929,                0.07433,                 2.2485,                 2.6051,                 2.8566,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8786,                  2.454,                 2.3074,                0.33008,                0.38221,                0.30326,                0.11053,                 2.1121,                 2.5266,                 2.7684,               0.009901,               0.009901,               0.009901
                      7,                 1.8378,                 2.3796,                  2.251,                 0.3417,                0.41005,                0.34647,                0.13085,                 2.1032,                  2.524,                 2.6779,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.8042,                 2.3018,                 2.2088,                0.32394,                0.42997,                0.34348,                0.12802,                 2.1205,                 2.3446,                 2.6134,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7899,                 2.2552,                 2.1749,                0.44283,                 0.4594,                0.41965,                0.16304,                 2.0816,                  2.195,                 2.6206,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7682,                 2.2149,                 2.1478,                0.40533,                0.45533,                0.38627,                 0.1583,                 2.0208,                 2.2138,                 2.5598,              0.0098218,              0.0098218,              0.0098218
                     11,                  1.754,                 2.1748,                 2.1335,                0.48098,                0.47344,                 0.4552,                0.18732,                 2.0507,                 2.0869,                 2.5483,               0.009802,               0.009802,               0.009802
                     12,                 1.7429,                 2.1141,                 2.1067,                0.52212,                0.47059,                0.48591,                0.19183,                 2.0268,                 2.1165,                 2.5554,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.7203,                 2.1086,                 2.0919,                0.49211,                0.52124,                0.49333,                 0.1948,                 2.0018,                 2.0591,                 2.4871,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.7158,                 2.0782,                 2.0958,                 0.5256,                  0.475,                0.48476,                 0.1999,                 2.0176,                 1.9828,                 2.4597,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6997,                 2.0447,                  2.067,                0.49753,                0.50877,                 0.4763,                0.19709,                 2.0075,                  2.007,                 2.5384,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6926,                 2.0328,                  2.064,                0.57236,                0.49091,                0.50944,                0.21575,                 1.9983,                 1.9829,                 2.4756,               0.009703,               0.009703,               0.009703
                     17,                 1.6876,                 2.0061,                 2.0522,                0.53215,                0.50601,                0.51115,                0.21518,                 2.0061,                 1.9324,                  2.513,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6862,                 1.9913,                 2.0493,                0.50769,                0.52422,                0.51868,                0.22472,                 1.9887,                 1.9018,                 2.4221,              0.0096634,              0.0096634,              0.0096634
