                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1947,                 4.2825,                 4.0706,                0.08551,                0.05964,                0.03713,                0.00921,                 2.6854,                 4.1039,                  3.887,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.5132,                  3.531,                 3.1797,                0.16821,                0.27797,                0.13976,                0.04233,                 2.2824,                 3.4524,                 3.0851,              0.0066481,              0.0066481,              0.0066481
                      3,                 2.1211,                 3.0381,                 2.6594,                0.16241,                0.18875,                0.15469,                0.04563,                 2.2815,                 3.0375,                 2.9354,               0.009955,               0.009955,               0.009955
                      4,                 1.9773,                 2.7552,                  2.461,                0.31275,                 0.3613,                0.27255,                0.08952,                 2.1049,                 2.5819,                 2.7498,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9104,                 2.5725,                 2.3747,                0.34165,                0.38137,                 0.3156,                0.11401,                 2.0694,                 2.4417,                 2.6849,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8588,                 2.4685,                 2.3067,                0.37796,                0.41983,                0.34498,                0.12875,                 2.0105,                 2.4285,                 2.6422,               0.009901,               0.009901,               0.009901
                      7,                 1.8298,                 2.3976,                 2.2644,                0.40364,                0.39308,                0.32677,                 0.1249,                 2.0404,                 2.3894,                 2.6153,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.8073,                 2.3394,                 2.2237,                0.40453,                0.48744,                0.40924,                0.14982,                  2.037,                 2.1362,                 2.5666,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7911,                 2.2841,                 2.1984,                 0.4869,                0.43809,                0.42968,                0.16888,                 2.0048,                 2.1401,                   2.54,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7755,                 2.2574,                 2.1778,                0.51655,                0.46805,                 0.4594,                0.18664,                 1.9784,                 2.0987,                 2.5165,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7437,                 2.2083,                 2.1498,                0.42535,                0.46157,                0.44027,                 0.1755,                 1.9649,                 2.1006,                 2.5251,               0.009802,               0.009802,               0.009802
                     12,                 1.7501,                 2.1722,                 2.1425,                0.53546,                0.51173,                0.49495,                0.20619,                 1.9892,                 1.9725,                  2.491,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.7349,                 2.1505,                  2.121,                0.48931,                0.48387,                0.47444,                0.19683,                 1.9378,                 2.0431,                 2.4101,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.7232,                 2.1239,                 2.1082,                0.51939,                0.53843,                0.51768,                0.21787,                  1.935,                 1.9309,                 2.4341,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.7051,                 2.0993,                 2.0914,                0.51976,                0.50372,                0.50492,                0.20539,                 1.9604,                 1.9825,                  2.482,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.7049,                 2.0636,                 2.0824,                 0.5672,                 0.5058,                0.51584,                0.22967,                 1.9399,                 1.9156,                 2.4377,               0.009703,               0.009703,               0.009703
                     17,                 1.6949,                  2.062,                 2.0754,                0.52703,                0.52099,                0.51234,                0.22387,                 1.9389,                 1.9128,                 2.4439,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.7002,                 2.0539,                 2.0754,                0.54748,                 0.5331,                0.52665,                0.22885,                 1.9293,                 1.8791,                 2.4352,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6795,                 2.0183,                 2.0679,                0.52682,                0.53467,                 0.5225,                0.22785,                 1.9223,                 1.8508,                 2.4057,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6684,                 1.9962,                 2.0518,                0.52475,                 0.5353,                0.52744,                0.23343,                 1.9147,                  1.805,                 2.4057,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6654,                 1.9867,                 2.0516,                0.52385,                0.53672,                0.52206,                0.22625,                 1.9358,                 1.8407,                 2.3886,               0.009604,               0.009604,               0.009604
                     22,                 1.6675,                 1.9517,                 2.0372,                0.55571,                0.55979,                0.54641,                0.23988,                 1.9141,                 1.8212,                 2.3768,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.6528,                 1.9358,                 2.0282,                0.56517,                0.57364,                0.54267,                0.23933,                 1.9361,                 1.7555,                 2.4051,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.6398,                 1.9249,                 2.0144,                0.54591,                0.55208,                0.53809,                0.23954,                 1.9225,                 1.7895,                 2.3798,              0.0095446,              0.0095446,              0.0095446
                     25,                  1.646,                 1.9094,                 2.0165,                0.55861,                0.56594,                0.54202,                0.24195,                 1.9108,                 1.7853,                 2.3462,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.6282,                 1.8929,                 1.9934,                0.58927,                0.57143,                0.55737,                0.24484,                 1.8923,                 1.7604,                 2.3498,               0.009505,               0.009505,               0.009505
                     27,                 1.6184,                 1.8796,                 1.9908,                0.59804,                0.56118,                0.56214,                0.25322,                 1.8829,                 1.7272,                 2.3764,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.6191,                 1.8635,                 1.9817,                0.60074,                0.58084,                0.56983,                0.26291,                 1.8775,                 1.7225,                 2.3316,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.6244,                 1.8528,                 1.9814,                0.57189,                0.58263,                0.56197,                 0.2603,                 1.9006,                 1.7162,                  2.355,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.6149,                 1.8381,                 1.9794,                0.57966,                0.58244,                0.58054,                0.26266,                 1.8984,                 1.7086,                 2.3559,              0.0094258,              0.0094258,              0.0094258
                     31,                   1.61,                 1.8372,                 1.9721,                0.56773,                0.59909,                 0.5848,                0.26779,                 1.8665,                 1.6673,                 2.3374,               0.009406,               0.009406,               0.009406
                     32,                 1.6016,                 1.8168,                 1.9619,                0.60274,                0.58655,                0.58698,                0.26986,                 1.8944,                 1.6795,                 2.3495,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5914,                 1.8027,                 1.9583,                0.60713,                0.60746,                0.58771,                0.27322,                 1.8636,                 1.6811,                 2.3346,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.5786,                 1.7901,                 1.9467,                0.61799,                0.59375,                0.58772,                0.26986,                 1.8774,                 1.6653,                 2.3356,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5901,                  1.773,                 1.9573,                0.59444,                0.59328,                0.58367,                0.26975,                 1.8783,                 1.6515,                 2.3232,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5773,                 1.7565,                 1.9346,                0.60631,                0.60077,                0.58607,                0.27259,                 1.8594,                 1.6416,                 2.3132,               0.009307,               0.009307,               0.009307
                     37,                 1.5823,                 1.7525,                 1.9357,                0.61071,                0.60325,                0.58438,                0.27247,                 1.8599,                   1.63,                 2.3143,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5748,                 1.7507,                 1.9326,                0.58524,                0.61347,                0.59064,                0.27742,                 1.8858,                 1.6353,                 2.3091,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5645,                 1.7354,                  1.929,                0.60499,                0.60306,                0.58441,                0.26804,                 1.8806,                 1.6264,                 2.3338,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5672,                 1.7402,                 1.9271,                0.61158,                0.62509,                 0.6056,                 0.2781,                 1.8879,                 1.6075,                 2.3285,              0.0092278,              0.0092278,              0.0092278
                     41,                  1.552,                 1.7156,                 1.9134,                0.61328,                0.58861,                0.59198,                0.27841,                 1.8757,                 1.6192,                 2.3152,               0.009208,               0.009208,               0.009208
                     42,                 1.5559,                 1.7113,                 1.9192,                0.62026,                 0.6128,                  0.595,                0.27725,                 1.8859,                 1.5987,                 2.3437,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.5546,                 1.7065,                 1.9122,                0.61975,                0.59934,                 0.5962,                0.27781,                   1.88,                 1.5975,                 2.3275,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.5417,                 1.7009,                 1.9093,                0.63516,                0.61116,                0.60225,                0.27849,                 1.8721,                 1.6035,                 2.3376,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.5544,                 1.6845,                 1.9113,                0.62553,                0.62027,                0.60616,                0.28769,                 1.8661,                 1.5951,                 2.3148,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.5481,                 1.6779,                 1.9088,                0.63277,                0.60897,                0.60354,                0.28073,                  1.872,                 1.5801,                 2.3123,               0.009109,               0.009109,               0.009109
                     47,                 1.5407,                  1.661,                 1.8963,                0.61015,                0.60511,                0.59409,                0.28338,                 1.8708,                 1.5851,                 2.3083,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.5298,                 1.6582,                 1.8843,                0.61844,                0.59622,                0.59257,                0.28042,                 1.8815,                 1.5893,                 2.3163,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.5419,                 1.6742,                 1.8949,                0.62118,                0.59955,                0.60105,                0.28421,                 1.8693,                 1.5745,                 2.3008,              0.0090496,              0.0090496,              0.0090496
