                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1176,                 4.3831,                 4.0095,                0.03503,                 0.1014,                0.03247,                0.00806,                 2.7758,                 4.2618,                 3.4979,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.4396,                 3.4785,                 2.9519,                 0.1661,                0.17656,                0.11052,                0.03222,                  2.312,                 3.1763,                 2.9758,              0.0066481,              0.0066481,              0.0066481
                      3,                 2.1137,                  3.032,                 2.5314,                0.23702,                0.33001,                0.17725,                0.05627,                 2.1764,                 2.9267,                 2.8316,               0.009955,               0.009955,               0.009955
                      4,                 2.0113,                 2.7852,                 2.3794,                0.30614,                0.29407,                0.21776,                0.07451,                 2.1546,                 2.7086,                 2.7271,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9474,                 2.6157,                  2.294,                0.40124,                0.40876,                0.31457,                0.10978,                 2.1154,                 2.3582,                 2.6625,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.9004,                  2.502,                 2.2367,                0.36011,                 0.3833,                0.29206,                 0.1014,                  2.097,                 2.4232,                 2.6519,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8689,                 2.4236,                 2.1896,                0.38058,                 0.3834,                0.36134,                0.13197,                 2.0322,                 2.2994,                  2.568,               0.009901,               0.009901,               0.009901
                      8,                 1.8278,                  2.364,                 2.1538,                0.43996,                0.48404,                0.43896,                0.16759,                 2.0227,                 2.0948,                 2.4897,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8099,                 2.3119,                 2.1303,                0.38561,                0.42342,                0.37234,                0.13405,                 2.0299,                  2.151,                 2.4886,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7912,                 2.2727,                 2.1186,                0.38365,                0.46705,                0.39147,                 0.1534,                 2.0244,                 2.2023,                 2.4947,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.7926,                 2.2403,                 2.1055,                0.46595,                 0.4414,                0.41947,                0.15972,                 2.0207,                 2.1374,                 2.4385,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.7731,                 2.2121,                 2.0922,                0.44168,                0.49466,                0.42816,                0.17135,                 2.0177,                 2.0482,                  2.489,               0.009802,               0.009802,               0.009802
                     13,                 1.7621,                 2.1711,                 2.0639,                0.48369,                0.52118,                0.47804,                0.19875,                 1.9588,                 1.9961,                 2.3837,              0.0097822,              0.0097822,              0.0097822
                     14,                  1.747,                 2.1445,                 2.0561,                0.52355,                0.51474,                 0.4795,                0.19654,                  1.986,                 1.9835,                 2.4154,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.7401,                 2.1149,                 2.0486,                0.50353,                0.53923,                0.49617,                0.20593,                 1.9589,                 1.9663,                 2.3965,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.7313,                 2.0995,                 2.0522,                0.50305,                0.50765,                0.49049,                0.20605,                 1.9427,                 1.9354,                 2.3918,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.7144,                  2.068,                 2.0227,                0.49559,                0.52122,                 0.4991,                 0.2094,                  1.954,                 1.8939,                 2.3922,               0.009703,               0.009703,               0.009703
                     18,                  1.709,                 2.0405,                 2.0208,                0.56333,                0.53226,                0.51073,                0.21613,                 1.9573,                  1.887,                 2.3835,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.7007,                 2.0256,                 2.0143,                0.55164,                0.55407,                0.52625,                0.23065,                 1.9348,                 1.8324,                 2.3466,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.6974,                 2.0007,                 2.0015,                0.55762,                0.53094,                0.53751,                0.23385,                 1.9468,                 1.8274,                 2.3907,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.6796,                 1.9808,                 1.9946,                0.54179,                0.56372,                0.53648,                0.23206,                 1.9338,                 1.8325,                 2.3655,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.6733,                 1.9832,                 1.9913,                0.53639,                0.54244,                0.53364,                0.24044,                 1.9128,                 1.7993,                 2.3487,               0.009604,               0.009604,               0.009604
                     23,                 1.6666,                 1.9604,                 1.9784,                0.54913,                0.56039,                0.54187,                0.23283,                 1.9325,                 1.8141,                 2.3694,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.6601,                 1.9413,                 1.9757,                0.54917,                0.56492,                 0.5498,                0.24754,                 1.9043,                  1.781,                 2.3058,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.6574,                 1.9256,                 1.9621,                0.53818,                0.56896,                0.54508,                0.23738,                 1.9198,                 1.7576,                 2.3506,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.6536,                 1.8967,                 1.9581,                0.54489,                0.57934,                0.53791,                 0.2382,                 1.9093,                 1.7288,                 2.3007,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.6544,                 1.8842,                 1.9537,                0.59013,                0.57827,                0.55397,                0.24355,                 1.9131,                 1.7376,                 2.3103,               0.009505,               0.009505,               0.009505
                     28,                 1.6272,                 1.8793,                  1.943,                0.58154,                0.57911,                0.55883,                 0.2513,                 1.8989,                 1.7371,                 2.3197,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.6346,                 1.8604,                  1.945,                0.60005,                0.55839,                 0.5622,                0.25463,                 1.9052,                 1.7168,                 2.3058,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.6263,                 1.8635,                 1.9386,                0.59287,                0.56475,                0.56769,                0.26111,                 1.8707,                 1.7137,                 2.2912,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.6112,                 1.8362,                 1.9226,                0.56089,                0.59889,                0.56437,                0.25406,                 1.8974,                 1.7303,                 2.3044,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.6206,                 1.8439,                 1.9286,                0.59991,                 0.5673,                0.56629,                0.26593,                 1.8967,                 1.6956,                 2.3175,               0.009406,               0.009406,               0.009406
                     33,                 1.6194,                 1.8135,                 1.9181,                0.60256,                0.57436,                0.57524,                0.26419,                  1.897,                 1.6903,                 2.3009,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.5986,                  1.796,                 1.9069,                0.59498,                0.58952,                0.57771,                0.26611,                 1.8842,                 1.6569,                 2.2994,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.6082,                 1.8076,                  1.914,                0.57191,                0.59462,                0.57527,                0.26367,                 1.8772,                  1.669,                 2.2879,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.5941,                 1.7744,                 1.9013,                0.60162,                0.59382,                0.57844,                0.26516,                 1.8983,                  1.646,                 2.2939,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.5895,                  1.767,                 1.9014,                0.60285,                  0.581,                0.58085,                0.27017,                 1.9016,                 1.6418,                 2.2992,               0.009307,               0.009307,               0.009307
                     38,                 1.5828,                 1.7712,                 1.8952,                0.61456,                0.58456,                0.57897,                0.27317,                 1.8836,                 1.6407,                 2.3041,              0.0092872,              0.0092872,              0.0092872
                     39,                  1.585,                 1.7479,                 1.8885,                0.61394,                0.60434,                0.59762,                 0.2795,                  1.875,                 1.6229,                 2.2547,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.5788,                 1.7613,                 1.8916,                0.63872,                0.57099,                0.59172,                 0.2737,                 1.8881,                 1.6322,                  2.275,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.5776,                  1.732,                 1.8854,                0.61707,                0.58951,                0.58874,                0.26947,                 1.8956,                   1.63,                 2.2776,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.5652,                 1.7093,                 1.8761,                0.59741,                0.61547,                0.59177,                0.27438,                 1.8706,                 1.5971,                 2.2805,               0.009208,               0.009208,               0.009208
                     43,                  1.554,                 1.7109,                 1.8664,                0.61913,                0.59358,                0.59581,                 0.2814,                 1.8702,                 1.5797,                 2.2675,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.5626,                 1.7226,                 1.8726,                0.60382,                0.61182,                 0.5862,                0.27945,                 1.8664,                 1.5897,                 2.2822,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.5577,                 1.7083,                 1.8715,                0.63255,                0.60946,                0.59894,                0.27669,                 1.8718,                 1.6106,                 2.2862,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.5567,                 1.6951,                 1.8667,                0.61111,                0.61867,                0.60618,                0.28779,                 1.8581,                 1.5874,                 2.2875,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.5433,                 1.6696,                 1.8529,                 0.6075,                0.61605,                0.59895,                0.28631,                  1.864,                 1.5849,                 2.2631,               0.009109,               0.009109,               0.009109
                     48,                 1.5427,                 1.6744,                 1.8495,                0.62728,                0.61162,                0.60407,                 0.2838,                 1.8723,                 1.5756,                 2.2742,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.5459,                 1.6729,                 1.8517,                0.63342,                0.60152,                0.60203,                0.28757,                 1.8669,                 1.5587,                 2.2734,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.5386,                  1.663,                  1.846,                0.62215,                0.61227,                0.60378,                0.28813,                 1.8666,                  1.564,                  2.267,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.5326,                 1.6575,                 1.8421,                 0.6137,                0.61305,                0.60238,                0.28858,                 1.8713,                 1.5558,                 2.2755,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.5304,                 1.6457,                 1.8399,                0.63273,                0.60986,                0.60498,                0.28739,                 1.8712,                 1.5605,                 2.2893,                0.00901,                0.00901,                0.00901
                     53,                 1.5283,                 1.6327,                 1.8366,                0.60522,                0.62217,                0.60376,                0.28421,                 1.8793,                 1.5502,                 2.2891,              0.0089902,              0.0089902,              0.0089902
