                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2329,                 4.3175,                 4.1139,                0.08008,                0.15048,                0.04084,                0.01109,                 2.7159,                 4.8028,                 3.8809,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.5917,                  3.559,                 3.2657,                0.14371,                0.19261,                0.08231,                0.02383,                 2.3661,                 3.3129,                 3.2587,              0.0066481,              0.0066481,              0.0066481
                      3,                 2.1374,                 3.0297,                 2.6929,                0.25163,                0.28785,                0.17133,                0.04986,                 2.2165,                 2.9195,                 2.8931,               0.009955,               0.009955,               0.009955
                      4,                 1.9873,                 2.7527,                 2.4915,                0.32159,                0.36148,                0.25419,                0.09149,                 2.0843,                 2.7072,                 2.7763,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9208,                 2.5915,                 2.3874,                0.34846,                0.41567,                0.33216,                0.12168,                 2.0541,                 2.3912,                  2.677,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.8791,                 2.4802,                 2.3204,                0.34545,                0.42843,                0.29753,                0.10979,                 2.0506,                 2.4294,                 2.7403,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8385,                 2.3998,                 2.2731,                0.37241,                0.42096,                0.36674,                0.13499,                 2.0265,                  2.291,                 2.6446,               0.009901,               0.009901,               0.009901
                      8,                 1.8023,                 2.3436,                 2.2289,                0.46738,                0.46483,                0.43622,                 0.1689,                 2.0296,                 2.1236,                  2.586,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.7912,                 2.2837,                 2.1998,                0.43827,                0.46321,                0.40211,                 0.1462,                 1.9927,                 2.2008,                 2.5202,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7711,                 2.2461,                 2.1836,                0.45471,                 0.4947,                0.43741,                0.17395,                 1.9847,                 2.0997,                 2.5278,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.7715,                  2.217,                 2.1642,                0.44066,                0.49223,                0.44905,                0.18959,                 1.9294,                 2.1062,                 2.4668,              0.0098218,              0.0098218,              0.0098218
                     12,                  1.746,                 2.1841,                 2.1438,                0.45913,                0.50023,                0.45057,                0.18342,                 2.0013,                 2.0227,                 2.5235,               0.009802,               0.009802,               0.009802
                     13,                 1.7338,                 2.1588,                 2.1227,                  0.545,                0.49724,                0.49848,                0.20725,                 1.9502,                 1.9577,                 2.4606,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.7179,                 2.1272,                 2.1086,                0.50502,                0.52868,                0.49931,                0.19829,                 2.0248,                 1.9395,                 2.4782,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.7237,                 2.0862,                 2.0904,                0.47586,                 0.5114,                0.48323,                0.19949,                 1.9453,                 1.9771,                 2.4459,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.7079,                 2.0723,                 2.0946,                0.50704,                 0.5266,                0.49641,                0.20626,                 1.9515,                 1.9253,                 2.4183,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.7007,                 2.0424,                 2.0676,                0.55541,                0.51784,                0.50742,                0.21873,                 1.9361,                 1.8993,                 2.4333,               0.009703,               0.009703,               0.009703
                     18,                 1.6965,                 2.0127,                 2.0657,                0.53296,                0.54948,                 0.5241,                0.22521,                 1.9583,                 1.8713,                 2.4088,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.6819,                 2.0099,                  2.057,                0.52816,                0.53903,                0.51867,                0.22756,                  1.898,                 1.8594,                 2.3955,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.6718,                 1.9748,                 2.0325,                0.57472,                0.54851,                0.54577,                 0.2372,                 1.9164,                 1.8359,                 2.4054,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.6617,                 1.9635,                  2.026,                0.56586,                0.55735,                0.54674,                0.24463,                 1.9327,                 1.8103,                 2.4007,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.6515,                 1.9587,                 2.0187,                0.50498,                0.55869,                0.51906,                 0.2354,                 1.9148,                 1.8107,                 2.3988,               0.009604,               0.009604,               0.009604
                     23,                 1.6519,                 1.9296,                 2.0163,                0.53154,                0.55842,                0.52438,                0.23199,                 1.9141,                 1.8183,                 2.3616,              0.0095842,              0.0095842,              0.0095842
