               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071841,            0.029513,            0.031913,             0.36455,             0.28097,             0.24132,            0.073559,            0.048831,            0.011605,            0.015567,            0.070049,           0.0033279,           0.0033279
                   1,            0.056469,            0.026507,             0.01336,             0.39975,             0.42746,             0.33388,             0.09798,            0.046542,            0.010954,            0.011017,            0.040036,           0.0066481,           0.0066481
                   2,            0.054955,            0.025871,            0.011645,              0.2696,             0.30883,             0.23118,            0.067977,            0.049731,             0.01155,            0.013806,            0.010009,            0.009955,            0.009955
                   3,            0.054124,            0.026355,            0.012402,             0.30094,             0.36228,             0.28718,             0.08457,            0.046165,            0.011273,           0.0096077,           0.0099406,           0.0099406,           0.0099406
                   4,            0.052054,            0.025743,           0.0097225,             0.43708,              0.4295,             0.38605,             0.12463,            0.046165,            0.011063,           0.0096865,           0.0099406,           0.0099406,           0.0099406
                   5,            0.050658,            0.025553,           0.0085504,             0.44332,             0.47224,             0.41435,             0.13685,               0.045,            0.010941,           0.0080524,           0.0099208,           0.0099208,           0.0099208
                   6,            0.050022,            0.024895,           0.0080666,             0.46291,             0.51323,             0.45234,             0.15582,            0.043786,            0.010987,           0.0071944,            0.009901,            0.009901,            0.009901
                   7,            0.049265,            0.025274,           0.0076458,             0.48526,             0.50555,             0.45725,             0.16341,            0.043629,            0.010769,           0.0075096,           0.0098812,           0.0098812,           0.0098812
                   8,            0.048481,            0.024606,            0.006858,             0.55797,               0.535,             0.51072,             0.18288,            0.044713,            0.010511,           0.0073654,           0.0098614,           0.0098614,           0.0098614
                   9,            0.048033,            0.024927,           0.0067109,             0.51602,             0.53806,             0.50076,             0.18725,            0.042969,            0.010494,           0.0066173,           0.0098416,           0.0098416,           0.0098416
                  10,            0.047974,            0.024299,           0.0061638,             0.52823,             0.53376,             0.50706,             0.19132,            0.042921,            0.010457,           0.0075879,           0.0098218,           0.0098218,           0.0098218
                  11,            0.047089,            0.024476,           0.0063612,             0.58504,             0.54355,             0.53436,             0.19973,            0.042251,            0.010529,           0.0078839,            0.009802,            0.009802,            0.009802
                  12,            0.046908,            0.024236,           0.0058411,             0.54861,             0.57758,             0.54018,             0.21316,            0.042777,             0.01037,           0.0075944,           0.0097822,           0.0097822,           0.0097822
                  13,            0.046093,            0.024245,           0.0058743,             0.54301,              0.5778,             0.54172,             0.20207,             0.04297,             0.01033,           0.0068882,           0.0097624,           0.0097624,           0.0097624
                  14,             0.04608,             0.02372,           0.0055486,             0.54987,             0.58156,             0.53442,             0.20039,            0.042664,            0.010263,           0.0065916,           0.0097426,           0.0097426,           0.0097426
                  15,            0.045778,            0.023586,            0.005609,             0.56487,             0.58397,             0.54611,             0.21379,            0.042552,             0.01031,           0.0074223,           0.0097228,           0.0097228,           0.0097228
                  16,            0.045402,            0.023697,           0.0050101,              0.5715,             0.61195,             0.55272,             0.20797,            0.042319,            0.010333,           0.0082028,            0.009703,            0.009703,            0.009703
                  17,            0.045495,            0.023544,           0.0051857,             0.56494,             0.57393,             0.54406,             0.20796,            0.042648,            0.010231,           0.0081285,           0.0096832,           0.0096832,           0.0096832
                  18,            0.044722,            0.023787,           0.0052089,             0.55973,             0.61407,             0.55206,             0.21663,            0.042526,            0.010177,           0.0084327,           0.0096634,           0.0096634,           0.0096634
                  19,            0.044795,            0.023672,           0.0048346,             0.55087,             0.59688,             0.54208,             0.20609,            0.042174,            0.010326,           0.0074318,           0.0096436,           0.0096436,           0.0096436
                  20,            0.044773,            0.023507,           0.0047589,             0.56893,             0.60108,             0.56619,             0.22765,            0.041567,            0.010157,           0.0078292,           0.0096238,           0.0096238,           0.0096238
