                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1453,                  4.105,                 3.6662,                0.42881,                0.09475,                 0.0542,                0.01223,                  2.721,                 3.4834,                 3.3259,               0.070012,               0.003332,               0.003332
                      2,                 2.4137,                 3.4301,                 2.8472,                0.14715,                0.28774,                0.11441,                0.03764,                 2.2601,                 3.0951,                 2.8753,               0.039999,              0.0066521,              0.0066521
                      3,                 2.1098,                 3.0938,                 2.5013,                0.29327,                0.35065,                0.17742,                0.05807,                 2.1757,                 2.8189,                 2.7885,              0.0099726,              0.0099591,              0.0099591
                      4,                 2.0235,                 2.9241,                 2.3845,                0.32251,                0.31417,                0.24316,                0.08278,                 2.1139,                 2.6644,                 2.6272,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9606,                 2.7525,                 2.3031,                0.41624,                0.34836,                0.28569,                0.10196,                 2.0694,                 2.3976,                 2.6139,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.9123,                 2.6555,                 2.2525,                0.34886,                0.41098,                0.30459,                 0.1088,                 2.0698,                  2.357,                 2.5965,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8762,                 2.5976,                 2.2219,                 0.3527,                0.36598,                0.29341,                0.11147,                 2.0075,                 2.2983,                 2.5008,               0.009901,               0.009901,               0.009901
                      8,                 1.8574,                  2.531,                 2.2039,                0.39958,                0.43326,                0.35754,                0.12966,                 2.0176,                 2.2218,                 2.5284,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8423,                 2.4783,                 2.1744,                0.37587,                0.43182,                0.37491,                0.14139,                 2.0386,                 2.1651,                 2.5092,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.8344,                 2.4343,                 2.1592,                0.47055,                0.45148,                0.39944,                0.14898,                 1.9745,                 2.1277,                 2.4058,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.8034,                 2.3637,                  2.129,                0.46046,                0.45305,                0.40641,                0.15837,                 2.0012,                 2.1195,                 2.5101,              0.0098218,              0.0098218,              0.0098218
