                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9335,                 3.9875,                 3.4743,                0.11981,                0.15073,                0.06631,                0.01878,                 2.5885,                 3.3104,                  3.201,               0.070012,               0.003332,               0.003332
                      2,                 2.3747,                 3.2808,                 2.8431,                0.14661,                0.29481,                0.12552,                0.04071,                 2.2664,                 3.1256,                 2.9494,               0.039999,              0.0066521,              0.0066521
                      3,                 2.1315,                 3.0097,                 2.6049,                0.27241,                0.33449,                0.19182,                0.06597,                 2.1343,                 3.0332,                 2.8197,              0.0099726,              0.0099591,              0.0099591
                      4,                 2.0093,                  2.845,                 2.4954,                 0.3126,                0.35099,                0.24976,                0.09116,                 2.1052,                 2.5952,                 2.7689,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9465,                 2.7126,                 2.4253,                0.29054,                0.39294,                0.25207,                0.08783,                 2.0701,                 2.5279,                  2.669,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8988,                  2.605,                 2.3571,                0.27751,                0.39565,                0.24948,                0.09515,                 2.0325,                 2.4875,                 2.6197,               0.009901,               0.009901,               0.009901
                      7,                 1.8644,                 2.5578,                 2.3184,                0.38124,                0.40994,                0.33423,                0.13166,                 1.9855,                  2.369,                 2.5396,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.8525,                 2.4805,                  2.292,                0.38277,                0.42683,                0.33608,                0.13477,                 1.9538,                 2.2377,                 2.4989,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.8205,                 2.4276,                 2.2663,                0.39409,                 0.4496,                0.36871,                0.13614,                 1.9968,                 2.1872,                 2.5467,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.8025,                 2.3923,                 2.2389,                0.39469,                0.47541,                0.38719,                0.16591,                 1.9187,                 2.2445,                 2.4615,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7922,                 2.3673,                 2.2242,                0.42791,                0.48603,                0.38377,                0.14511,                 1.9784,                 2.1601,                 2.4919,               0.009802,               0.009802,               0.009802
                     12,                 1.7843,                 2.3293,                 2.2182,                 0.4027,                0.46125,                0.38341,                0.15602,                 1.9562,                 2.1326,                 2.5007,              0.0097822,              0.0097822,              0.0097822
