                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2631,                 4.1423,                 3.8978,                 0.0042,                0.34554,                 0.0045,                0.00142,                  2.942,                    inf,                 5.7068,               0.070097,              0.0033225,              0.0033225
                      2,                 2.6949,                 3.3893,                 3.2127,                 0.1015,                0.22387,                0.06445,                0.01826,                 2.4577,                 4.0201,                 3.1785,               0.040084,              0.0066427,              0.0066427
                      3,                 2.1923,                 3.0065,                 2.7111,                 0.5013,                0.21364,                0.17683,                0.05275,                 2.2575,                 3.3986,                 2.9549,               0.010058,              0.0099496,              0.0099496
                      4,                 2.0215,                 2.7751,                 2.4927,                 0.1743,                0.30736,                0.16878,                0.05456,                 2.2312,                  3.503,                 2.8883,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9342,                 2.6118,                  2.405,                0.30696,                0.36612,                0.27716,                0.09218,                 2.0491,                 2.5235,                 2.6952,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.8788,                 2.4825,                 2.3163,                 0.5976,                0.28895,                0.32194,                0.11257,                 2.0547,                 2.7748,                 2.7022,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8393,                 2.4192,                 2.2664,                0.38624,                0.41245,                0.34678,                 0.1322,                 2.0064,                 2.3345,                 2.6273,               0.009901,               0.009901,               0.009901
                      8,                  1.817,                 2.3554,                 2.2407,                0.42879,                0.45279,                0.38749,                0.14648,                 2.0047,                 2.2511,                  2.571,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8043,                 2.2964,                  2.208,                0.47213,                0.44239,                0.39758,                0.14482,                  1.997,                 2.2452,                 2.5293,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7726,                 2.2442,                 2.1767,                0.47975,                0.45592,                0.42995,                0.16393,                 2.0282,                  2.143,                 2.5493,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.7679,                 2.2083,                 2.1683,                0.43619,                0.46591,                0.43426,                0.16547,                 1.9527,                 2.1743,                 2.4831,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.7474,                 2.1671,                 2.1356,                0.54009,                0.45886,                0.47068,                0.19337,                 1.9903,                 2.0608,                 2.5308,               0.009802,               0.009802,               0.009802
                     13,                  1.745,                 2.1485,                 2.1244,                0.51787,                0.49748,                0.47574,                0.18435,                 1.9867,                 2.0551,                 2.4324,              0.0097822,              0.0097822,              0.0097822
                     14,                  1.729,                 2.1108,                 2.0997,                0.45159,                0.52122,                0.47991,                0.20154,                 1.9745,                 1.9938,                 2.4582,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.7189,                 2.0752,                 2.0874,                0.52909,                0.50561,                0.49992,                0.21089,                 1.9706,                 1.9858,                 2.4494,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.7094,                 2.0657,                 2.0839,                0.51953,                0.52257,                0.49842,                0.21594,                  1.933,                   1.89,                 2.4475,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.6993,                 2.0373,                 2.0622,                0.53477,                0.52421,                0.51199,                0.21571,                 1.9767,                 1.8981,                 2.4507,               0.009703,               0.009703,               0.009703
                     18,                  1.691,                 2.0181,                 2.0595,                0.54574,                0.53005,                0.51324,                0.21901,                 1.9257,                 1.9036,                 2.4096,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.6838,                 2.0147,                 2.0543,                0.52821,                0.53028,                0.52028,                0.22019,                 1.9595,                 1.8552,                 2.4473,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.6758,                 1.9608,                 2.0283,                 0.6003,                0.55067,                 0.5597,                0.23981,                 1.9697,                 1.8242,                 2.4345,              0.0096436,              0.0096436,              0.0096436
                     21,                  1.667,                 1.9539,                 2.0228,                0.56722,                0.55015,                0.55221,                0.24149,                 1.9391,                 1.7886,                 2.4006,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.6621,                 1.9359,                 2.0154,                0.53588,                0.52331,                0.52353,                0.23364,                 1.9007,                 1.8245,                  2.355,               0.009604,               0.009604,               0.009604
                     23,                 1.6588,                 1.9326,                 2.0144,                0.58263,                0.55484,                0.54721,                0.23495,                 1.9374,                 1.7855,                  2.368,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.6443,                 1.9104,                 2.0033,                0.52966,                0.58779,                0.55211,                0.24426,                 1.9272,                 1.7504,                  2.369,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.6386,                 1.8842,                 1.9915,                0.57807,                0.57223,                0.54822,                0.24354,                 1.9275,                  1.753,                 2.3896,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.6317,                 1.8841,                 1.9834,                0.56954,                0.58082,                0.56718,                0.25801,                 1.9069,                 1.7255,                 2.3381,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.6283,                 1.8654,                 1.9801,                0.57012,                0.57344,                0.57033,                0.26186,                 1.8936,                 1.7382,                 2.3599,               0.009505,               0.009505,               0.009505
                     28,                 1.6278,                 1.8508,                  1.966,                0.55018,                0.58063,                0.55892,                0.25482,                 1.8765,                 1.7464,                  2.355,              0.0094852,              0.0094852,              0.0094852
                     29,                  1.619,                 1.8413,                 1.9696,                0.56486,                0.56109,                0.54803,                0.25451,                 1.8849,                 1.7327,                 2.3537,              0.0094654,              0.0094654,              0.0094654
                     30,                  1.608,                 1.8238,                 1.9664,                0.58152,                0.56901,                0.56741,                0.25461,                 1.8982,                 1.7141,                 2.3299,              0.0094456,              0.0094456,              0.0094456
                     31,                  1.609,                 1.8104,                 1.9642,                0.58277,                0.58215,                0.57063,                0.25961,                 1.8873,                 1.6952,                 2.3442,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.6003,                 1.7889,                 1.9459,                0.58208,                0.57628,                0.56724,                0.26149,                 1.9011,                 1.6728,                  2.339,               0.009406,               0.009406,               0.009406
                     33,                 1.5882,                 1.7909,                   1.94,                0.58369,                0.59491,                0.57578,                0.27022,                  1.861,                 1.6765,                 2.3036,              0.0093862,              0.0093862,              0.0093862
                     34,                  1.585,                 1.7631,                 1.9337,                0.57798,                0.61594,                0.58743,                 0.2717,                 1.8918,                 1.6496,                 2.3245,              0.0093664,              0.0093664,              0.0093664
                     35,                  1.584,                 1.7635,                 1.9381,                0.58746,                0.60348,                0.58265,                0.27429,                 1.8835,                 1.6412,                 2.3171,              0.0093466,              0.0093466,              0.0093466
                     36,                  1.589,                 1.7605,                 1.9306,                0.61302,                0.60232,                0.59043,                 0.2755,                 1.8455,                 1.6207,                 2.2706,              0.0093268,              0.0093268,              0.0093268
                     37,                  1.578,                 1.7507,                 1.9259,                0.60418,                 0.5783,                0.58203,                0.27028,                 1.8768,                 1.6514,                 2.3179,               0.009307,               0.009307,               0.009307
                     38,                 1.5724,                 1.7418,                 1.9232,                0.59377,                0.59599,                0.58083,                0.27366,                 1.8603,                 1.6332,                 2.3024,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.5693,                 1.7299,                 1.9197,                0.62127,                0.59511,                0.58652,                0.27213,                 1.8622,                 1.6215,                 2.2946,              0.0092674,              0.0092674,              0.0092674
                     40,                  1.561,                 1.7158,                 1.9107,                  0.608,                0.60209,                0.59939,                0.28166,                  1.867,                 1.6065,                 2.3094,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.5554,                 1.7028,                 1.9073,                0.60602,                0.61831,                 0.5937,                0.28114,                 1.8648,                 1.5957,                 2.3264,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.5552,                 1.6948,                 1.9041,                0.60824,                0.60075,                0.58631,                0.27172,                 1.8791,                 1.6314,                 2.3063,               0.009208,               0.009208,               0.009208
                     43,                 1.5558,                 1.6923,                 1.9005,                0.59916,                 0.6059,                0.60121,                0.28109,                 1.8608,                 1.5745,                 2.2764,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.5504,                 1.6759,                 1.8883,                 0.5975,                0.60681,                0.59575,                0.28426,                 1.8374,                 1.5919,                 2.2674,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.5442,                  1.666,                 1.8833,                0.63418,                0.61735,                0.60372,                0.27972,                 1.8813,                 1.5702,                 2.2889,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.5403,                 1.6588,                 1.8949,                0.61922,                0.61471,                0.60931,                 0.2867,                 1.8588,                 1.5658,                 2.2931,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.5348,                 1.6518,                 1.8718,                0.61132,                0.60572,                0.59398,                 0.2786,                 1.8702,                 1.5702,                  2.291,               0.009109,               0.009109,               0.009109
                     48,                 1.5293,                 1.6513,                  1.873,                0.60307,                0.61273,                0.59089,                0.28053,                 1.8526,                 1.5785,                 2.2692,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.5242,                 1.6511,                 1.8655,                0.60466,                 0.6303,                0.60479,                0.28356,                 1.8694,                 1.5627,                 2.2747,              0.0090694,              0.0090694,              0.0090694
                     50,                  1.534,                  1.639,                 1.8757,                0.62163,                0.59982,                0.60022,                0.28431,                 1.8607,                 1.5573,                 2.2777,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.5183,                 1.6154,                 1.8638,                0.60346,                 0.6219,                0.60341,                 0.2833,                 1.8602,                 1.5477,                 2.2882,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.5208,                 1.6213,                 1.8673,                0.60986,                0.62441,                0.60498,                0.28397,                 1.8687,                 1.5406,                 2.2836,                0.00901,                0.00901,                0.00901
                     53,                 1.5136,                 1.6123,                 1.8576,                0.61707,                0.62501,                0.60757,                0.28815,                 1.8575,                 1.5357,                 2.2782,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.5152,                 1.6126,                 1.8578,                0.60549,                0.62968,                0.60631,                 0.2888,                 1.8528,                 1.5323,                 2.2756,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.5061,                 1.5884,                 1.8515,                0.62557,                0.61323,                0.61662,                0.28805,                 1.8693,                 1.5296,                 2.2842,              0.0089506,              0.0089506,              0.0089506
                     56,                  1.503,                 1.5854,                 1.8404,                0.61474,                0.60837,                 0.6054,                0.28845,                 1.8663,                 1.5211,                 2.2926,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.4901,                 1.5643,                 1.8331,                 0.6273,                0.63616,                0.61919,                 0.2909,                  1.866,                 1.5361,                 2.2949,               0.008911,               0.008911,               0.008911
                     58,                 1.4878,                  1.576,                 1.8354,                0.61501,                0.63697,                0.60661,                0.28968,                 1.8582,                 1.5303,                 2.2857,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.4893,                 1.5777,                 1.8369,                0.61927,                0.62817,                0.61134,                0.28813,                 1.8596,                 1.5219,                 2.2775,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.4819,                 1.5652,                 1.8319,                0.62608,                0.61227,                0.60679,                0.28732,                 1.8656,                 1.5227,                 2.2835,              0.0088516,              0.0088516,              0.0088516
